country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-03-2026 13:00:00",14.465052,78.824187,PM10,46,70,54
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-03-2026 13:00:00",14.465052,78.824187,NH3,3,5,3
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-03-2026 13:00:00",14.465052,78.824187,CO,8,14,10
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","24-03-2026 13:00:00","14.438164 ","79.966814 ",NH3,1,4,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","24-03-2026 13:00:00",25.5626095,84.663264,CO,22,66,50
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","24-03-2026 13:00:00",24.75746,84.366208,SO2,9,15,12
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","24-03-2026 13:00:00",26.80365,84.51954,PM10,12,78,43
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","24-03-2026 13:00:00",16.711754,81.092095,PM10,27,73,43
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","24-03-2026 13:00:00",16.711754,81.092095,NH3,2,4,3
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","24-03-2026 13:00:00",16.316553,80.413302,SO2,12,23,14
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-03-2026 13:00:00",26.349082,92.68449,OZONE,11,24,16
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","24-03-2026 13:00:00",26.446912,91.439057,CO,20,22,21
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","24-03-2026 13:00:00",26.446912,91.439057,OZONE,10,16,15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","24-03-2026 13:00:00",14.675886,77.593027,PM2.5,50,62,55
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","24-03-2026 13:00:00",14.675886,77.593027,PM10,55,67,60
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","24-03-2026 13:00:00",25.03280,85.41948,NH3,3,3,3
